CaseID,ProjectTitle,Applicant,Applicant postcode,Scheme,ProjectDescription,Projectstartdate,Projectenddate,Govfundsawarded,record_complete,Geo,Visibility,Timing,county1,county2,county3,county4,county5,county6,county7,county8,county9,county10,county11,county12,county13,county14,county15,county16,county17,county18,county19,county20,county21,county22,county1cash,county2cash,county3cash,county4cash,county5cash,county6cash,county7cash,county8cash,county9cash,county10cash,county11cash,county12cash,county13cash,county14cash,county15cash,county16cash,county17cash,county18cash,county19cash,county20cash,county21cash,county22cash,Local1,Local2,Local3,Local4,Local5,Local6,Local7,Local8,Local9,Local10,Local11,Local12,Local13,Local14,Local15,Local16,Local17,Local18,Local19,Local20,Local21,Local22,Local23,Local24,Local25,Local26,Local27,Local28,Local29,Local30,Local31,Local32,Local33,Local34,Local35,Local36,Local37,Local38,Local39,Local40,Local41,Local42,Local43,Local44,Local45,Local46,Local47,Local48,Local49,Local50,Local51,Local52,postcode_sector1,postcode_sector2,postcode_sector3,postcode_sector4,postcode_sector5,postcode_sector6,postcode_sector7,postcode_sector8,postcode_sector9,postcode_sector10,postcode_sector11,postcode_sector12,postcode_sector13,postcode_sector14,postcode_sector15,postcode_sector16,postcode_sector17,postcode_sector18,postcode_sector19,postcode_sector20,postcode_sector21,postcode_sector22,postcode_sector23,postcode_sector24,postcode_sector25,postcode_sector26,postcode_sector27,postcode_sector28,postcode_sector29,postcode_sector30,postcode_sector31,postcode_sector32,postcode_sector33,postcode_sector34,postcode_sector35,postcode_sector36,postcode_sector37,postcode_sector38,postcode_sector39,postcode_sector40,postcode_sector41,postcode_sector42,postcode_sector43,postcode_sector44,postcode_sector45,postcode_sector46,postcode_sector47,postcode_sector48,postcode_sector49,postcode_sector50,postcode_sector51,postcode_sector52,spending1,spending2,spending3,spending4,spending5,spending6,spending7,spending8,spending9,spending10,spending11,spending12,spending13,spending14,spending15,spending16,spending17,spending18,spending19,spending20,spending21,spending22,spending23,spending24,spending25,spending26,spending27,spending28,spending29,spending30,spending31,spending32,spending33,spending34,spending35,spending36,spending37,spending38,spending39,spending40,spending41,spending42,spending43,spending44,spending45,spending46,spending47,spending48,spending49,spending50,spending51,spending52,Doc1,Doc2,Doc3,Doc4,Doc5,Doc6,Doc7,Doc8,,,,Notes
11,HiVE,Blaenau Gwent County Borough Council,NP23 6DN,,"Bringing together industry and education in high-value engineering, the HiVE Centre will offer research and development opportunities for industry partners, and it will be a base for school and employer outreach programmes, benefiting the wider community.",,,"£9,360,000 ",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ebbw Vale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP23 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9360000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Details copied from UKCRF
12,Grand Pavilion Porthcawl - A Landmark Legacy,Bridgend County Borough Council,CF31 4WB,,"The funding will be targeted at a major re-development of the Grade II Listed building in Porthcawl, which celebrated its 90th anniversary last year. The monies will be utilised to address the condition of the building’s concrete structure, preserving its unique heritage whilst also meeting the needs and aspirations of the community for extended and improved arts, culture, and heritage services.",,,"£17,998,316 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porthcawl,Porthcawl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF36 3,CF36 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8999158,8999158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Caerphilly Leisure & Wellbeing Hub,Caerphilly County Borough Council,CF31 4WB,,"The new facility, which will be constructed close to key public transport facilities in the heart of Caerphilly, will become the flagship leisure and wellbeing hub for the whole county borough.",,,"£20,000,000 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caerphilly,Caerphilly,Caerphilly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF83 1,CF83 2,CF83 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6666666.67,6666666.67,6666666.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Cardiff Crossrail Phase 1,Cardiff Council,CF10 4UW,,"Crossrail phase 1 - a new tram-train service from Radyr to Cardiﬀ Bay, via the City Line and a new link south of Central and across Callaghan Square",,,"£50,000,000 ",1,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,CF3 0,CF3 1,CF3 2,CF3 3,CF3 4,CF3 5,CF3 6,CF5 1,CF5 2,CF5 3,CF5 4,CF5 5,CF5 6,CF10 1,CF10 2,CF10 3,CF10 4,CF10 5,CF11 0,CF11 1,CF11 2,CF11 3,CF11 4,CF11 5,CF11 6,CF11 7,CF11 8,CF11 9,CF14 0,CF14 1,CF14 2,CF14 3,CF14 4,CF14 5,CF14 6,CF14 7,CF14 8,CF14 9,CF15 7,CF15 8,CF15 9,CF23 5,CF23 6,CF23 7,CF23 8,CF23 9,CF24 0,CF24 1,CF24 2,CF24 3,CF24 4,CF24 5,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,961538.46,,,,,,,,,,,,"Major new east/west metro line, so have coded for whole metro area"
15,Lower Swansea Valley: Regenerating through the Vivian Legacy,City and County of Swansea,SA1 3SN,,"The project is made up of three elements: The restoration of even more heritage features at the Hafod-Morfa Copperworks site, following-on from all the work that's been carried out there so far. Several listed buildings would be regenerated, releasing them for business use and new private sector investment. The site would also become better connected with local communities, to help tell the story of Swansea's rich industrial legacy to new generations. Improving links between the River Tawe and the copperworks site, while also developing better links between the site and the city centre. Victorian era railway arches would be re-used to enable access to public transport by bus, rail and river. The upgrade and enhancement of Swansea Museum, improving access and the visitor experience with increased and new exhibition and learning spaces. The investment will protect the museum and enable important elements of its collections currently stored at the former rolling mill of the Copperworks to be brought to this city centre heritage attraction - widely celebrated as the oldest museum in Wales. This will then release the rolling mill building at the copperworks for further mixed-use regeneration.",,,"£20,000,000 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Swansea,Swansea,Swansea,Swansea,Swansea,Swansea,Swansea,Swansea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA1 2,SA1 1,SA1 3,SA1 4,SA1 6,SA1 5,SA1 8,SA2 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500000,2500000,2500000,2500000,2500000,2500000,2500000,2500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Included Swansea town centre
16,Conwy Coast to Valley Transport Connectivity,Conwy County Borough Council,LL29 7AZ,,"The Coast to Valley – Transport Bid Conwy County comprises three parts to kick start a programme of investment in a Coast to Valley Active Travel Route and improve transport connections in the Conwy Valley. The route for the Glan Conwy to Llandudno Junction scheme will link the two communities by a shared use walking and cycling path, with onward connections to Conwy Town and Llandudno.  The consultation on a shortlist of options starts this week, with one option being a route via a bridge over the railway and a path through the RSPB reserve. The scheme will form the northernmost section of the Coast to Valley Active Travel Route. At the southern end of the Coast to Valley is the second part, linking Llanrwst to Betws y Coed.  The main element of this scheme is an improved river crossing for walking and cycling at Betws y Coed. The existing footbridge at this location (Sappers’ Bridge) is currently closed on safety grounds.  Like the scheme to the north, this project will be a key catalyst for opening up the southern section of Coast to Valley. The third part is Trefriw Resilient Roads.  Trefriw can be cut off during major floods and this project will provide a flood resilient route in and out of the village.  Options being looked at include raising road levels, flood defences and improved drainage.",,,"£18,620,484 ",1,3,3,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trefriw,Betws y Coed,Conwy,Conwy,Conwy,Conwy,Conwy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL27 0,LL24 0,LL28 5,LL31 9,LL30 1,LL30 2,LL32 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2660069.14,2660069.14,2660069.14,2660069.14,2660069.14,2660069.14,2660069.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"Protecting Ruthin's Unique Heritage, Wellbeing & Rural Communities.",Denbighshire County Council,LL15 1YN,,"will pay for improvements to the townscape of Ruthin, as well as providing new community facilities in the villages of Bryneglwys and Gwyddelwern and visitor facilities at Moel Famau and Loggerheads.",,,"£10,955,908 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Denbighshire,Denbighshire,Denbighshire,Denbighshire,Denbighshire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL15 1,LL15 2,LL21 9,CH7 5,LL16 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2191181.6,2191181.6,2191181.6,2191181.6,2191181.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Llewyrch o'r Llechi: future prosperity from our industrial past,Gwynedd Council,LL55 1SH,,"This funding will now enable Cyngor Gwynedd and our partners to transform the National Slate Museum in Dinorwig, establish green routes to connect local communities to the quarries they developed and establish interpretation and engagement hubs at Bethesda and Blaenau Ffestiniog.",,,"£18,830,189 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caernarfon,Bethesda,Bethesda,Blaenau Ffestiniog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL55 4,LL57 3,LL57 4,LL41 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4707547.25,4707547.25,4707547.25,4707547.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Holyhead: A culture and heritage driven transformation,Isle of Anglesey County Council,LL77 7TW,,"The bid document proposes an exciting package of projects to increase employment; improve the town centre offer and visitor experience; increase footfall and spending; provide modern floor space to meet business needs and increase access to the arts, culture and leisure.",,,"£17,047,505 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holyhead,Holyhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL65 1,LL65 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8523752.5,8523752.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Vale of Neath Heritage Corridor Visitor Attractor,Neath Port Talbot County Borough Council,SA13 1PJ,,"Known as the Vale of Neath Heritage Corridor Attractor, money from the the successful bid will deliver two major improvement projects, one at Neath’s Gnoll Estate Country Park and the other at Pontneddfechan in Waterfall Country forming part of an overall ‘Vale of Neath Heritage Corridor Masterplan’.",,,"£17,755,359 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Neath,Pontneddfechan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA11 3,SA11 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8877679.5,8877679.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Pontypool Cultural Hub & Cafe Quarter,Torfaen County Borough Council,NP4 6YB,,"The vision for Pontypool includes a new cafe and cultural hub on Hanbury Road that links the park and town centre, redevelopment of Civic Centre car park to make it more accessible and further improvements to the market. ",,,"£7,607,805 ",1,3,3,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontypool,Pontypool,Pontypool,Pontypool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NP4 0,NP4 5,NP4 6,NP4 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1901951.25,1901951.25,1901951.25,1901951.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Tywi Valley Path (Walking and Cycling Route Project),Carmarthenshire County Council,SA31 1JP,,"The Tywi Valley Path project will create a 20km off-road walking and cycling route linking Carmarthen to Llandeilo running alongside the River Tywi through stunning scenery which takes in castles, country parks and historical estates as well as attractions including the National Botanic Gardens of Wales and Aberglasney Gardens.",,,"16,774,912",1,3,3,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmarthen,Carmarthen,Carmarthen,Capel Dewi,Nantgaredig,Llandeilo,Llandeilo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA31 1,SA31 2,SA31 3,SA32 8,SA32 7,SA19 6,SA19 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2396416,2396416,2396416,2396416,2396416,2396416,2396416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Carmarthen and Pembroke HWB (Public Health and Wellbeing Facilities Development),Carmarthenshire County Council,SA31 1JP,,Local public service providers are working together on an exciting new venture to take over the former Debenhams building in Carmarthen.,,Spring 2024,19992025,1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carmarthen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA31 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19992025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Aberystwyth (Town Regeneration),Ceredigion County Council,SY23 3UE,,"A package of investment has been secured to revitalise Aberystwyth’s sea front area and boost Ceredigion’s local economy. The funding will contribute to realising Aberystwyth University’s plans to bring new life to the Old College, and the delivery of schemes to create a Living Harbour and a Revitalised Promenade in Aberystwyth",,,"10,852,123",1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aberystwyth,Aberystwyth,Aberystwyth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY23 1,SY23 2,SY23 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3617374.333,3617374.333,3617374.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Heart of Pembrokeshire Rediscovering Haverfordwest (Cultural Regeneration),Pembrokeshire County Council,SA61 1TP,,The bid focused on the economic regeneration of the historic county town of Haverfordwest via imaginative investment in its heritage and cultural assets.,,,"17,700,266",1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Haverfordwest,Haverfordwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SA61 1,SA61 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8850133,8850133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Montgomery Canal Restoration,Powys County Council,LD1 5LG,,"The project comprises a feasibility study, preparatory assessments, investigations, and designs, with the focus on waterway (restoration) for economic & social purposes. Activity includes infrastructure works required to open the Montgomery Canal to navigation; a 4.4mile section from the border at Llanymynech to Arddleen and to connect to the 12 miles already restored section each side of Welshpool.",,,"15,486,183",1,3,3,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Meifod,Llanymynech,Llanfyllin,Pant,Talerddig,Llanidloes,Westbury,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SY22 6,SY10 9,SY22 5,SY10 8,SY21 9,SY21 8,SY5 9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212311.857,2212311.857,2212311.857,2212311.857,2212311.857,2212311.857,2212311.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Brecon & Radnorshire Strategic Town Centre Investment,Powys County Council,LD1 5LG,,Almost £7million has been secured for three projects under the Brecon and Radnorshire Strategic Town Centre Investment package. The projects are: Creation of a multi-agency hub at Brecon Enterprise Park Redevelopment and refurbishment of Theatr Brycheiniog Llandrindod Wells Affordable Housing Scheme,,,"6,900,000",1,3,3,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brecon,Brecon,Brecon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LD3 7,LD3 8,LD1 5,LD1 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1725000,1725000,1725000,1725000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Muni Arts Centre,Rhondda Cynon Taff County Borough Council,CF40 2XX,,"The plans would expose the Muni’s stunning gothic architecture while creating a unique regional arts venue, through a major refurbishment and restoration project.  It would retain and enhance the Muni’s original features and heritage, ensuring it is fit for purpose and meets the local community’s needs.",,,"5,383,142",1,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontypridd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF37 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5383142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Porth Transport Hub,Rhondda Cynon Taff County Borough Council,CF40 2XX,,"Located at the existing railway station, the development consists of a modern and attractive transport hub at the heart of the Town Centre, which will provide seamless travel across bus and rail. The project also includes EV charging points, a taxi rank, cycle stores and local Active Travel network upgrades.",,,"3,586,091",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Porth,Pontypridd,Tonypandy,Porth,Beddau,Treforest,Williamstown,Llanharry,Pontypridd,Ferndale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF39 9,CF37 7,CF40 1,CF39 0,CF37 3,CF37 2,CF40 2,CF39 8,CF37 1,CF43 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,358609,358609,358609,358609,358609,358609,358609,358609,358609,358609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A4119 Coed-ely Dualling Scheme,Rhondda Cynon Taff County Borough Council,CF40 2XX,,"The major scheme will provide 1.5km of dual carriageway and a separate shared community route from Coed Ely Roundabout to Llantrisant Business Park – along with a new active travel bridge crossing the A4119 south of Coed Ely roundabout, to provide a new shared community route into the village. Alun Griffiths (Contractors) Ltd will deliver the work, for completion in 2024.",,,"11,416,950",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontyclun,Llwynypia,Llanharan,Brynna,Llantrisant,Pontyclun,Bridgend,Williamstown,Nantgarw,Porth,Tonypandy,Radyr,Ely,Cowbridge,Ogmore Vale,Porth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CF72 0,CF39 8,CF72 8,CF72 9,CF38 1,CF38 2,CF35 6,CF39 9,CF37 2,CF37 1,CF40 1,CF15 9,CF5 6,CF71 7,CF32 7,CF39 0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,713559.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Maximise the potential of the post-COVID-19 visitor economy (Connectivity Improvement Project),Wrexham Council,LL11 1AY,,"A total of £13.3m was awarded from the UK Government’s Levelling Up Fund in October to improve the area around the Pontcysyllte Aqueduct in Trevor, with £1.7m to come from other organisations. ‌﻿​﻿‌﻿​﻿‌﻿​﻿​﻿​﻿‍﻿‌﻿​﻿​﻿​﻿‌﻿‌﻿​﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿‌﻿​﻿‌﻿​﻿‍﻿‌﻿​﻿​﻿​﻿​﻿‌﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿‌﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿‌﻿‌﻿‌﻿​﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿‌﻿​﻿‍﻿‌﻿​﻿‌﻿‌﻿‌﻿​﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿​﻿​﻿‍﻿‌﻿​﻿​﻿​﻿‌﻿​﻿‌﻿‌﻿‍﻿‌﻿​﻿​﻿‌﻿‌﻿‌﻿​﻿​﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿​﻿​﻿‍﻿‌﻿​﻿​﻿‌﻿​﻿​﻿‌﻿​",,,"13,302,704",1,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pontcysyllte,Pontcysyllte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LL20 7,LL14 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6651352,6651352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,